lat,lon,time
52.22293720,6.88708807,2020-04-27T11:26:32Z
52.22293335,6.88708563,2020-04-27T11:26:33Z
52.22293133,6.88708300,2020-04-27T11:26:34Z
52.22293067,6.88707645,2020-04-27T11:26:35Z
52.22293098,6.88707351,2020-04-27T11:26:36Z
52.22293099,6.88707148,2020-04-27T11:26:37Z
52.22293184,6.88706927,2020-04-27T11:26:38Z
52.22293219,6.88706899,2020-04-27T11:26:39Z
52.22293274,6.88706847,2020-04-27T11:26:40Z
52.22293263,6.88706695,2020-04-27T11:26:41Z
52.22293252,6.88706681,2020-04-27T11:26:42Z
52.22293165,6.88706777,2020-04-27T11:26:43Z
52.22293070,6.88706778,2020-04-27T11:26:44Z
52.22293016,6.88706791,2020-04-27T11:26:45Z
52.22292961,6.88706685,2020-04-27T11:26:46Z
52.22292977,6.88706778,2020-04-27T11:26:47Z
52.22293007,6.88706849,2020-04-27T11:26:48Z
52.22293038,6.88706949,2020-04-27T11:26:49Z
52.22293057,6.88707014,2020-04-27T11:26:50Z
52.22293068,6.88707051,2020-04-27T11:26:51Z
52.22293058,6.88707214,2020-04-27T11:26:52Z
52.22293039,6.88707391,2020-04-27T11:26:53Z
52.22293019,6.88707533,2020-04-27T11:26:54Z
52.22293001,6.88707684,2020-04-27T11:26:55Z
52.22292981,6.88707831,2020-04-27T11:26:56Z
52.22292964,6.88707967,2020-04-27T11:26:57Z
52.22292679,6.88708252,2020-04-27T11:26:58Z
52.22292515,6.88708632,2020-04-27T11:26:59Z
52.22292597,6.88708737,2020-04-27T11:27:00Z
52.22293065,6.88708009,2020-04-27T11:27:01Z
52.22293124,6.88707982,2020-04-27T11:27:02Z
52.22292905,6.88707654,2020-04-27T11:27:03Z
52.22292836,6.88707216,2020-04-27T11:27:04Z
52.22292834,6.88707092,2020-04-27T11:27:05Z
52.22292751,6.88706891,2020-04-27T11:27:06Z
52.22292625,6.88706774,2020-04-27T11:27:07Z
52.22293044,6.88706454,2020-04-27T11:27:08Z
52.22293369,6.88706156,2020-04-27T11:27:09Z
52.22294265,6.88705591,2020-04-27T11:27:10Z
52.22294811,6.88705333,2020-04-27T11:27:11Z
52.22295257,6.88704701,2020-04-27T11:27:12Z
52.22295668,6.88704481,2020-04-27T11:27:13Z
52.22296131,6.88704288,2020-04-27T11:27:14Z
52.22296425,6.88704664,2020-04-27T11:27:15Z
52.22296676,6.88704896,2020-04-27T11:27:16Z
52.22296845,6.88705208,2020-04-27T11:27:17Z
52.22296977,6.88705919,2020-04-27T11:27:18Z
52.22296625,6.88706925,2020-04-27T11:27:19Z
52.22296282,6.88707981,2020-04-27T11:27:20Z
52.22296018,6.88709620,2020-04-27T11:27:21Z
52.22295632,6.88712017,2020-04-27T11:27:22Z
52.22295288,6.88713886,2020-04-27T11:27:23Z
52.22294746,6.88715203,2020-04-27T11:27:24Z
52.22294059,6.88716902,2020-04-27T11:27:25Z
52.22293248,6.88718285,2020-04-27T11:27:26Z
52.22292506,6.88719469,2020-04-27T11:27:27Z
52.22291982,6.88720257,2020-04-27T11:27:28Z
52.22291430,6.88721014,2020-04-27T11:27:29Z
52.22290697,6.88721690,2020-04-27T11:27:30Z
52.22289866,6.88721606,2020-04-27T11:27:31Z
52.22289029,6.88720600,2020-04-27T11:27:32Z
52.22287915,6.88719791,2020-04-27T11:27:33Z
52.22286406,6.88719356,2020-04-27T11:27:34Z
52.22285281,6.88719238,2020-04-27T11:27:35Z
52.22284688,6.88719199,2020-04-27T11:27:36Z
52.22283790,6.88719215,2020-04-27T11:27:37Z
52.22282629,6.88719705,2020-04-27T11:27:38Z
52.22281633,6.88719709,2020-04-27T11:27:39Z
52.22281165,6.88719561,2020-04-27T11:27:40Z
52.22280250,6.88719226,2020-04-27T11:27:41Z
52.22278892,6.88719077,2020-04-27T11:27:42Z
52.22277551,6.88719304,2020-04-27T11:27:43Z
52.22275884,6.88720547,2020-04-27T11:27:44Z
52.22274716,6.88721174,2020-04-27T11:27:45Z
52.22274100,6.88721146,2020-04-27T11:27:46Z
52.22273661,6.88720204,2020-04-27T11:27:47Z
52.22273065,6.88719479,2020-04-27T11:27:48Z
52.22272119,6.88719045,2020-04-27T11:27:49Z
52.22271515,6.88718942,2020-04-27T11:27:50Z
52.22271202,6.88719101,2020-04-27T11:27:51Z
52.22271286,6.88718843,2020-04-27T11:27:52Z
52.22271466,6.88718528,2020-04-27T11:27:53Z
52.22271598,6.88718318,2020-04-27T11:27:54Z
52.22271677,6.88718204,2020-04-27T11:27:55Z
52.22271765,6.88718059,2020-04-27T11:27:56Z
52.22271945,6.88717775,2020-04-27T11:27:57Z
52.22272055,6.88717592,2020-04-27T11:27:58Z
52.22272172,6.88717365,2020-04-27T11:27:59Z
52.22272420,6.88716632,2020-04-27T11:28:00Z
52.22272560,6.88716166,2020-04-27T11:28:01Z
52.22272646,6.88715907,2020-04-27T11:28:02Z
52.22272686,6.88715783,2020-04-27T11:28:03Z
52.22272765,6.88715548,2020-04-27T11:28:04Z
52.22272800,6.88715267,2020-04-27T11:28:05Z
52.22272821,6.88715106,2020-04-27T11:28:06Z
52.22272841,6.88715044,2020-04-27T11:28:07Z
52.22272862,6.88715004,2020-04-27T11:28:08Z
52.22272878,6.88715049,2020-04-27T11:28:09Z
52.22272857,6.88715150,2020-04-27T11:28:10Z
52.22272864,6.88715241,2020-04-27T11:28:11Z
52.22272897,6.88715390,2020-04-27T11:28:12Z
52.22272930,6.88715520,2020-04-27T11:28:13Z
52.22272947,6.88715585,2020-04-27T11:28:14Z
52.22272955,6.88715618,2020-04-27T11:28:15Z
52.22272959,6.88715636,2020-04-27T11:28:16Z
52.22272950,6.88715684,2020-04-27T11:28:17Z
52.22272770,6.88716139,2020-04-27T11:28:18Z
52.22272783,6.88716573,2020-04-27T11:28:19Z
52.22272704,6.88716244,2020-04-27T11:28:20Z
52.22272856,6.88715441,2020-04-27T11:28:21Z
52.22273025,6.88714505,2020-04-27T11:28:22Z
52.22273233,6.88714112,2020-04-27T11:28:23Z
52.22273529,6.88714125,2020-04-27T11:28:24Z
52.22273739,6.88714559,2020-04-27T11:28:25Z
52.22274175,6.88714524,2020-04-27T11:28:26Z
52.22274473,6.88714252,2020-04-27T11:28:27Z
52.22274527,6.88714185,2020-04-27T11:28:28Z
52.22274529,6.88714204,2020-04-27T11:28:29Z
52.22274523,6.88714238,2020-04-27T11:28:30Z
52.22274517,6.88714337,2020-04-27T11:28:31Z
52.22274515,6.88714385,2020-04-27T11:28:32Z
52.22274513,6.88714410,2020-04-27T11:28:33Z
52.22274510,6.88714451,2020-04-27T11:28:34Z
52.22274508,6.88714470,2020-04-27T11:28:35Z
52.22274549,6.88714543,2020-04-27T11:28:36Z
52.22274573,6.88714635,2020-04-27T11:28:37Z
52.22274616,6.88714705,2020-04-27T11:28:38Z
52.22274659,6.88714786,2020-04-27T11:28:39Z
52.22274697,6.88714863,2020-04-27T11:28:40Z
52.22274723,6.88714908,2020-04-27T11:28:41Z
52.22274741,6.88714973,2020-04-27T11:28:42Z
52.22274762,6.88715012,2020-04-27T11:28:43Z
52.22274775,6.88715036,2020-04-27T11:28:44Z
52.22274781,6.88715090,2020-04-27T11:28:45Z
52.22274785,6.88715119,2020-04-27T11:28:46Z
52.22274788,6.88715139,2020-04-27T11:28:47Z
52.22274793,6.88715177,2020-04-27T11:28:48Z
52.22274798,6.88715201,2020-04-27T11:28:49Z
52.22274825,6.88715233,2020-04-27T11:28:50Z
52.22274843,6.88715257,2020-04-27T11:28:51Z
52.22274856,6.88715275,2020-04-27T11:28:52Z
52.22274868,6.88715292,2020-04-27T11:28:53Z
52.22274877,6.88715302,2020-04-27T11:28:54Z
52.22274884,6.88715312,2020-04-27T11:28:55Z
52.22274887,6.88715317,2020-04-27T11:28:56Z
52.22274889,6.88715320,2020-04-27T11:28:57Z
